years,driver016,driver1725,driver2639,driver4064,driver6574,,pass016,pass1725,pass2639,pass4064,pass6574,,pedes016,pedes1725,pedes2639,pedes4064,pedes6574, ,motor016,motor1725,motor2639,motor4064,motor6574,,pedal016,pedal1725,pedal2639,pedal4064,pedal6574
2004,5,213,182,239,44,,67,126,45,66,27,,21,32,42,57,23,,7,54,76,55,2,,12,3,8,14,4
2005,5,208,226,218,65,,74,109,45,62,17,,20,39,41,49,23,,3,66,91,65,3,,8,3,9,12,4
2006,6,224,197,213,55,,69,114,55,66,12,,31,24,45,58,25,,5,69,91,70,2,,7,4,5,17,4
2007,5,200,220,241,52,,61,100,56,50,30,,18,29,39,66,15,,9,59,86,77,3,,8,4,11,17,1
2008,6,180,163,204,43,,62,99,52,50,15,,13,34,34,45,21,,2,60,88,88,6,,4,3,8,7,1
2009,8,178,181,230,47,,75,114,50,49,19,,18,25,42,54,20,,3,43,77,98,2,,2,2,5,14,6
2010,4,169,152,213,40,,52,80,48,44,26,,15,34,30,48,15,,2,49,68,95,10,,1,4,7,18,6
2011,4,132,131,197,41,,67,77,54,42,14,,14,21,32,55,18,,5,47,55,85,6,,2,3,3,19,4
2012,7,140,152,199,41,,40,73,40,48,23,,15,24,28,46,19,,6,43,70,95,8,,2,3,7,12,5
2013,4,120,111,194,56,,37,51,35,33,18,,13,16,21,43,22,,4,38,64,84,17,,7,4,11,21,6
